time,gFx,gFy,gFz,TgF
0.001219688,-0.0672,0.9780,0.0806,0.984
0.001680834,-0.0633,0.9809,0.0875,0.987
0.001936719,-0.0623,0.9839,0.0885,0.990
0.002305313,-0.0604,0.9819,0.0943,0.988
0.002642813,-0.0574,0.9868,0.1031,0.994
0.003798542,-0.0545,0.9858,0.1129,0.994
0.008830261,-0.0506,0.9878,0.1227,0.997
0.009510678,-0.0496,0.9887,0.1354,0.999
0.010991303,-0.0477,0.9878,0.1451,1.000
0.012879012,-0.0486,0.9868,0.1588,1.001
0.01537672,-0.0467,0.9819,0.1705,0.998
0.01854495,-0.0467,0.9829,0.1823,1.001
0.021154377,-0.0477,0.9751,0.1901,0.995
0.030723284,-0.0506,0.9711,0.1950,0.992
0.031376201,-0.0525,0.9663,0.2028,0.989
0.031685212,-0.0565,0.9575,0.2057,0.981
0.031906618,-0.0594,0.9565,0.2047,0.980
0.033803649,-0.0604,0.9516,0.2087,0.976
0.035262712,-0.0662,0.9526,0.2096,0.978
0.042670577,-0.0623,0.9526,0.2106,0.978
0.043386879,-0.0643,0.9516,0.2116,0.977
0.043776984,-0.0653,0.9526,0.2126,0.978
0.045588598,-0.0633,0.9594,0.2096,0.984
0.047806567,-0.0623,0.9614,0.2116,0.986
0.050682818,-0.0574,0.9682,0.2165,0.994
0.053151047,-0.0525,0.9770,0.2233,1.004
0.055606256,-0.0457,0.9790,0.2272,1.006
0.057982402,-0.0438,0.9839,0.2292,1.011
0.060392506,-0.0359,0.9887,0.2331,1.016
0.063124433,-0.0262,0.9926,0.2360,1.021
0.06616709,-0.0252,0.9917,0.2409,1.021
0.068265163,-0.0183,0.9907,0.2360,1.019
0.070489747,-0.0154,0.9917,0.2399,1.020
0.07454782,-0.0135,0.9897,0.2409,1.019
0.07609881,-0.0174,0.9848,0.2409,1.014
0.081718185,-0.0223,0.9819,0.2360,1.010
0.083129071,-0.0213,0.9809,0.2321,1.008
0.083458185,-0.0223,0.9780,0.2292,1.005
0.087999123,-0.0271,0.9790,0.2243,1.005
0.091706415,-0.0262,0.9809,0.2262,1.007
0.094078916,-0.0320,0.9780,0.2194,1.003
0.095775478,-0.0311,0.9809,0.2155,1.005
0.098938708,-0.0340,0.9829,0.2106,1.006
0.10079501,-0.0311,0.9848,0.2096,1.007
0.103318135,-0.0330,0.9848,0.1999,1.005
0.105939646,-0.0311,0.9878,0.1950,1.007
0.108244021,-0.0340,0.9907,0.1881,1.009
0.110669647,-0.0330,0.9946,0.1833,1.012
0.114034751,-0.0320,0.9966,0.1803,1.013
0.115251522,-0.0311,0.9975,0.1754,1.013
0.118894439,-0.0301,0.9995,0.1735,1.015
0.12066522,-0.0291,0.9995,0.1725,1.015
0.123398867,-0.0223,1.0014,0.1666,1.015
0.127308867,-0.0174,0.9975,0.1715,1.012
0.12781319,-0.0154,0.9975,0.1696,1.012
0.131131055,-0.0154,0.9917,0.1686,1.006
0.133491628,-0.0144,0.9907,0.1725,1.006
0.135374805,-0.0076,0.9926,0.1764,1.008
0.139860587,-0.0008,0.9966,0.1764,1.012
0.140737618,-0.0008,0.9975,0.1852,1.015
0.143448608,0.0041,0.9985,0.1852,1.016
0.145672723,0.0100,0.9995,0.1852,1.017
0.148622723,0.0139,0.9985,0.1891,1.016
0.150436161,0.0061,0.9985,0.1920,1.017
0.152548192,0.0100,0.9907,0.1901,1.009
0.157888401,0.0022,0.9878,0.1862,1.005
0.159042568,0.0002,0.9760,0.1823,0.993
0.161507933,-0.0174,0.9711,0.1754,0.987
0.164406423,-0.0311,0.9604,0.1725,0.976
0.165854339,-0.0428,0.9526,0.1569,0.966
0.168334704,-0.0565,0.9418,0.1481,0.955
0.171061736,-0.0692,0.9330,0.1354,0.945
0.173289809,-0.0887,0.9203,0.1276,0.933
0.174580434,-0.0985,0.9154,0.1119,0.928
0.17893856,-0.1190,0.9106,0.1129,0.925
0.180447726,-0.1288,0.9096,0.1080,0.925
0.183371164,-0.1395,0.9086,0.0934,0.924
0.186393248,-0.1503,0.9125,0.0934,0.930
0.187191373,-0.1512,0.9164,0.0846,0.933
0.190623873,-0.1591,0.9242,0.0806,0.941
0.19358778,-0.1610,0.9330,0.0826,0.950
0.195891686,-0.1581,0.9448,0.0816,0.961
0.198410489,-0.1581,0.9545,0.0953,0.972
0.199757676,-0.1581,0.9653,0.1031,0.984
0.204026062,-0.1542,0.9751,0.1168,0.994
0.208078615,-0.1493,0.9887,0.1266,1.008
0.208981219,-0.1473,0.9946,0.1412,1.015
0.212148667,-0.1444,1.0122,0.1520,1.034
0.212829136,-0.1395,1.0220,0.1539,1.043
0.215203355,-0.1356,1.0190,0.1647,1.041
0.218227574,-0.1268,1.0151,0.1803,1.039
0.22041721,-0.1219,1.0102,0.1911,1.035
0.22316596,-0.1092,1.0093,0.1969,1.034
0.224955075,-0.0995,1.0063,0.2067,1.032
0.228323877,-0.0838,1.0053,0.2087,1.030
